,car_index,fuelType,owner_id,vehicle_make,vehicle_model,vehicle_type,vehicle_year
887,C0887,GASOLINE,6963668,Honda,Ridgeline,truck,2006
888,C0888,GASOLINE,14690366,FIAT,124 Convertible 2000,car,1979
889,C0889,GASOLINE,15786248,Mitsubishi,Mirage,car,2015
890,C0890,GASOLINE,1234398,Volkswagen,Jetta,car,2013
891,C0891,GASOLINE,1234398,Ford,Flex,car,2017
892,C0892,GASOLINE,2704097,Ford,Mustang,car,2010
893,C0893,GASOLINE,10421637,Mercedes-Benz,CLA-Class,car,2017
894,C0894,GASOLINE,15117327,Honda,Civic Sedan,car,2019
895,C0895,GASOLINE,8004030,Buick,LaCrosse,car,2014
896,C0896,DIESEL,1012840,Ram,3500,truck,2018
897,C0897,GASOLINE,3062393,Dodge,Charger,car,2020
898,C0898,GASOLINE,15601222,Kia,Optima,car,2018
899,C0899,GASOLINE,8004030,Ford,Focus,car,2014
900,C0900,GASOLINE,11048083,Ford,Mustang,car,2016
901,C0901,GASOLINE,3990019,Honda,Accord,car,2012
902,C0902,GASOLINE,4781411,Ford,Fusion,car,2014
903,C0903,ELECTRIC,7888875,Chevrolet,Bolt EV,car,2017
904,C0904,GASOLINE,3784430,Volkswagen,Passat,car,2014
905,C0905,GASOLINE,11048083,Jeep,Renegade,suv,2017
906,C0906,GASOLINE,3990019,Lexus,RX 350,suv,2008
907,C0907,GASOLINE,11048083,Chevrolet,Sonic,car,2017
908,C0908,GASOLINE,9870875,Chevrolet,Camaro,car,2015
909,C0909,GASOLINE,15390598,Mercedes-Benz,C-Class,car,2015
910,C0910,GASOLINE,6305145,Nissan,Armada,suv,2014
911,C0911,GASOLINE,9870875,Jeep,Wrangler,suv,2014
912,C0912,GASOLINE,3758468,Audi,A3,car,2015
913,C0913,GASOLINE,9870875,Nissan,Altima,car,2014
914,C0914,GASOLINE,3758468,Chevrolet,Colorado,truck,2018
915,C0915,GASOLINE,3758468,Chevrolet,Sonic,car,2018
916,C0916,GASOLINE,9870875,Chevrolet,Cruze,car,2013
917,C0917,GASOLINE,3758468,Chevrolet,Spark,car,2019
918,C0918,GASOLINE,14815241,Jeep,Renegade,suv,2019
919,C0919,GASOLINE,14815241,Chevrolet,Equinox,suv,2020
920,C0920,GASOLINE,14815241,Chevrolet,Equinox,suv,2020
921,C0921,GASOLINE,6318784,Acura,RDX,suv,2010
922,C0922,GASOLINE,1582843,Nissan,Versa,car,2017
923,C0923,GASOLINE,1582843,Hyundai,Elantra,car,2017
924,C0924,GASOLINE,1582843,Kia,Forte,car,2016
925,C0925,GASOLINE,1582843,Toyota,Corolla,car,2017
926,C0926,GASOLINE,3224803,Volkswagen,Passat,car,2017
927,C0927,GASOLINE,1582843,Ford,Fiesta,car,2016
928,C0928,GASOLINE,1582843,Nissan,Versa,car,2017
929,C0929,GASOLINE,1582843,Ford,Fiesta,car,2016
930,C0930,GASOLINE,5494464,Jeep,Wrangler,suv,2018
931,C0931,GASOLINE,14442226,Jeep,Grand Cherokee,suv,2014
932,C0932,GASOLINE,10091194,Audi,A6,car,2019
933,C0933,GASOLINE,7230130,Chevrolet,Blazer,suv,2019
934,C0934,GASOLINE,6049737,Porsche,Macan,suv,2015
935,C0935,GASOLINE,2135384,Porsche,Boxster,car,1980
936,C0936,GASOLINE,5494464,Jeep,Wrangler Unlimited,suv,2020
937,C0937,GASOLINE,5494464,Jeep,Gladiator,truck,2020
938,C0938,GASOLINE,5494464,Infiniti,Q60 Coupe,car,2015
939,C0939,GASOLINE,792702,Audi,A4,car,2018
940,C0940,GASOLINE,5494464,Toyota,FJ Cruiser,suv,2012
941,C0941,GASOLINE,1387898,BMW,M6,car,2016
942,C0942,GASOLINE,15340626,Honda,CR-V,suv,2012
943,C0943,GASOLINE,14776924,Chrysler,Pacifica,minivan,2019
944,C0944,GASOLINE,1798930,Ford,F-150,truck,2019
945,C0945,GASOLINE,5494464,BMW,3 Series,car,2013
946,C0946,GASOLINE,5494464,BMW,3 Series,car,2013
947,C0947,GASOLINE,8489353,Honda,Accord,car,2014
948,C0948,GASOLINE,5855067,Maserati,Levante,suv,2018
949,C0949,GASOLINE,5494464,Toyota,Tundra,truck,2019
950,C0950,GASOLINE,5494464,Mercedes-Benz,GLK-Class,suv,2013
951,C0951,GASOLINE,14457543,Jeep,Grand Cherokee,suv,2015
952,C0952,GASOLINE,5494464,Toyota,Supra,car,2020
953,C0953,GASOLINE,8845805,Lexus,NX,suv,2020
954,C0954,GASOLINE,506196,Toyota,Sienna,minivan,2016
955,C0955,GASOLINE,711074,Toyota,Yaris,car,2008
956,C0956,GASOLINE,14689335,Chevrolet,Malibu,car,2016
957,C0957,GASOLINE,15530845,Chevrolet,Camaro,car,2012
958,C0958,GASOLINE,15629643,Ford,Mustang,car,2014
959,C0959,GASOLINE,3276160,Maserati,Ghibli,car,2014
960,C0960,GASOLINE,3276160,Mercedes-Benz,GL-Class,suv,2011
961,C0961,GASOLINE,3276160,Audi,A4,car,2015
962,C0962,GASOLINE,15252590,Mercedes-Benz,S-Class,car,2016
963,C0963,GASOLINE,3276160,Porsche,Cayenne,suv,2011
964,C0964,GASOLINE,3276160,Audi,A4,car,2013
965,C0965,GASOLINE,11835475,Porsche,Boxster,car,2013
966,C0966,GASOLINE,3276160,BMW,6 Series,car,2014
967,C0967,ELECTRIC,5495663,Tesla,Model S,car,2018
968,C0968,GASOLINE,11835475,Land Rover,Range Rover,suv,2017
969,C0969,GASOLINE,15803376,BMW,X1,suv,2017
970,C0970,ELECTRIC,3658429,Tesla,Model S,car,2017
971,C0971,GASOLINE,1311978,Chevrolet,Camaro,car,2016
972,C0972,ELECTRIC,3658429,Tesla,Model S,car,2016
973,C0973,HYBRID,3742820,BMW,i8,car,2015
974,C0974,GASOLINE,10684731,Mercedes-Benz,GLC-Class,suv,2018
975,C0975,GASOLINE,508232,BMW,3 Series,car,2017
976,C0976,GASOLINE,15211599,Land Rover,Range Rover Sport,suv,2015
977,C0977,GASOLINE,10728061,Mercedes-Benz,C-Class,car,2017
978,C0978,HYBRID,11835475,Ford,Fusion Energi,car,2016
979,C0979,GASOLINE,15375135,BMW,3 Series,car,2018
980,C0980,GASOLINE,7641399,Honda,Odyssey,minivan,2015
981,C0981,GASOLINE,11599884,Mercury,Mariner,suv,2010
982,C0982,ELECTRIC,8324137,Tesla,Model 3,car,2019
983,C0983,GASOLINE,11138191,Mercedes-Benz,G-Class,suv,2017
984,C0984,ELECTRIC,8324137,Tesla,Model 3,car,2019
985,C0985,GASOLINE,5495663,Land Rover,Range Rover Sport,suv,2015
986,C0986,GASOLINE,8160693,Jeep,Wrangler,suv,2015
987,C0987,GASOLINE,7641399,Nissan,Altima,car,2016
988,C0988,GASOLINE,3632124,Nissan,Rogue,suv,2011
989,C0989,GASOLINE,10942942,Chevrolet,Malibu,car,2015
990,C0990,GASOLINE,7641399,Acura,ILX,car,2017
991,C0991,GASOLINE,7641399,Ford,Escape,suv,2016
992,C0992,GASOLINE,3632124,Nissan,Altima,car,2017
993,C0993,GASOLINE,3632124,Kia,Soul,car,2016
994,C0994,GASOLINE,11331832,Mercedes-benz,C-Class,car,2019
995,C0995,GASOLINE,7641399,Volkswagen,Jetta,car,2014
996,C0996,GASOLINE,7641399,Mazda,3,car,2014
997,C0997,GASOLINE,7641399,Hyundai,Elantra,car,2015
998,C0998,GASOLINE,7641399,Nissan,Sentra,car,2016
999,C0999,GASOLINE,7641399,Ford,Focus,car,2015
1000,C1000,GASOLINE,8051196,Porsche,Cayman,car,2016
1001,C1001,GASOLINE,2587169,Volkswagen,Jetta,car,2019
1002,C1002,GASOLINE,11200709,Mazda,3,car,2011
1003,C1003,HYBRID,1350938,BMW,i8,car,2015
1004,C1004,GASOLINE,3632124,Hyundai,Elantra,car,2018
1005,C1005,GASOLINE,7641399,Hyundai,Elantra,car,2015
1006,C1006,GASOLINE,7641399,Kia,Forte,car,2015
1007,C1007,GASOLINE,7641399,Ford,Fiesta,car,2014
1008,C1008,GASOLINE,7641399,Toyota,Corolla,car,2018
1009,C1009,GASOLINE,334173,BMW,M4,car,2016
1010,C1010,GASOLINE,15641562,Chevrolet,Spark,car,2015
1011,C1011,GASOLINE,1869655,Subaru,Impreza,car,2011
1012,C1012,HYBRID,2730787,Chevrolet,Volt,car,2014
1013,C1013,GASOLINE,13251172,Honda,Accord Sedan,car,2019
1014,C1014,GASOLINE,1202055,Audi,S6,car,2016
1015,C1015,GASOLINE,3047832,Audi,A6,car,2016
1016,C1016,GASOLINE,2402157,Ford,Explorer Sport Trac,truck,2007
1017,C1017,GASOLINE,14775761,Nissan,Rogue,suv,2014
1018,C1018,GASOLINE,8359553,Nissan,Versa Note,car,2017
1019,C1019,GASOLINE,2457793,Mercedes-Benz,C-Class,car,2017
1020,C1020,GASOLINE,8001615,Volkswagen,Jetta,car,2017
1021,C1021,GASOLINE,8359553,Hyundai,Elantra,car,2018
1022,C1022,GASOLINE,15641562,Chevrolet,Spark,car,2013
1023,C1023,GASOLINE,6821053,Subaru,Legacy,car,2018
1024,C1024,ELECTRIC,8689016,Tesla,Model X,suv,2019
1025,C1025,DIESEL,8689016,Mercedes-Benz,GL-Class,suv,2015
1026,C1026,ELECTRIC,8689016,Tesla,Model 3,car,2018
1027,C1027,ELECTRIC,8689016,Tesla,Model 3,car,2019
1028,C1028,GASOLINE,30050,Subaru,Outback,suv,2014
1029,C1029,ELECTRIC,8689016,Tesla,Model X,suv,2019
1030,C1030,ELECTRIC,8689016,Tesla,Model X,suv,2020
1031,C1031,GASOLINE,5420642,Dodge,Challenger,car,2017
1032,C1032,ELECTRIC,8689016,Tesla,Model 3,car,2020
1033,C1033,HYBRID,835786,Chevrolet,Volt,car,2016
1034,C1034,GASOLINE,10369583,Nissan,Maxima,car,2017
1035,C1035,GASOLINE,6740893,Toyota,4Runner,suv,2019
1036,C1036,ELECTRIC,10558004,Tesla,Model X,suv,2019
1037,C1037,GASOLINE,10209043,GMC,Yukon XL,suv,2017
1038,C1038,ELECTRIC,3971140,Tesla,Model X,suv,2016
1039,C1039,GASOLINE,5420642,Mercedes-Benz,GLA-Class,suv,2016
1040,C1040,GASOLINE,6851915,Toyota,FJ Cruiser,suv,2008
1041,C1041,GASOLINE,2245310,Toyota,4Runner,suv,2005
1042,C1042,,2245310,Toyota,4Runner,suv,2006
1043,C1043,GASOLINE,2245310,Toyota,4Runner,suv,2005
1044,C1044,GASOLINE,4057191,Hyundai,Santa Fe Sport,suv,2018
1045,C1045,ELECTRIC,10558004,Tesla,Model X,suv,2020
1046,C1046,GASOLINE,2318184,Jeep,Renegade,suv,2017
1047,C1047,GASOLINE,10369583,Jaguar,XJ,car,2013
1048,C1048,GASOLINE,2245310,Toyota,4Runner,suv,2005
1049,C1049,GASOLINE,2318184,Nissan,Pathfinder,suv,2012
1050,C1050,GASOLINE,2318184,Toyota,RAV4,suv,2010
1051,C1051,GASOLINE,835786,FIAT,500,car,2012
1052,C1052,DIESEL,8685806,Mercedes-Benz,M-Class,suv,2012
1053,C1053,GASOLINE,5765543,Nissan,Pathfinder,suv,2011
1054,C1054,GASOLINE,4057191,Ford,F-150,truck,2008
1055,C1055,GASOLINE,2245310,Toyota,Sienna,minivan,2006
1056,C1056,GASOLINE,5765543,Nissan,Pathfinder,suv,2012
1057,C1057,GASOLINE,4057191,Subaru,Forester,suv,2017
1058,C1058,GASOLINE,4913195,BMW,5 Series,car,2012
1059,C1059,GASOLINE,2245310,Toyota,Sienna,minivan,2005
1060,C1060,GASOLINE,4057191,Subaru,Forester,suv,2014
1061,C1061,GASOLINE,4913195,Jeep,Wrangler Unlimited,suv,2020
1062,C1062,GASOLINE,5420642,BMW,5 Series,car,2011
1063,C1063,GASOLINE,3856661,Chevrolet,Express,van,2010
1064,C1064,GASOLINE,2318184,Subaru,Forester,suv,2014
1065,C1065,GASOLINE,2245310,Toyota,Sienna,minivan,2007
1066,C1066,GASOLINE,2318184,Subaru,Legacy,car,2008
1067,C1067,GASOLINE,13620611,Ford,F-150,truck,2014
1068,C1068,GASOLINE,2318184,Toyota,4Runner,suv,2009
1069,C1069,GASOLINE,2318184,Nissan,Pathfinder,suv,2014
1070,C1070,GASOLINE,2318184,Nissan,Pathfinder,suv,2012
1071,C1071,GASOLINE,10374464,Subaru,Outback,suv,2017
1072,C1072,GASOLINE,2245310,Toyota,Sienna,minivan,2006
1073,C1073,GASOLINE,2245310,Toyota,FJ Cruiser,suv,2008
1074,C1074,GASOLINE,2318184,Nissan,Frontier,truck,2019
1075,C1075,ELECTRIC,12784424,Tesla,Model X,suv,2020
1076,C1076,GASOLINE,2245310,Toyota,Sienna,minivan,2012
1077,C1077,GASOLINE,2245310,Toyota,Sienna,minivan,2012
1078,C1078,GASOLINE,8433821,GMC,Acadia,suv,2014
1079,C1079,GASOLINE,2318184,Toyota,RAV4,suv,2006
1080,C1080,GASOLINE,2245310,Toyota,4Runner,suv,2008
1081,C1081,GASOLINE,2299459,Honda,Civic,car,2016
1082,C1082,ELECTRIC,8388004,Tesla,Model 3,car,2018
1083,C1083,GASOLINE,2245310,Toyota,Tacoma,truck,2016
1084,C1084,GASOLINE,11641674,Cadillac,Escalade,suv,2015
1085,C1085,GASOLINE,2245310,Toyota,4Runner,suv,2005
1086,C1086,GASOLINE,2318184,Toyota,RAV4,suv,2013
1087,C1087,GASOLINE,10318818,INFINITI,QX60,suv,2018
1088,C1088,GASOLINE,2245310,Toyota,Sienna,minivan,2011
1089,C1089,GASOLINE,2245310,Toyota,4Runner,suv,2008
1090,C1090,GASOLINE,5765543,Nissan,Xterra,suv,2010
1091,C1091,GASOLINE,2245310,Toyota,Sienna,minivan,2006
1092,C1092,GASOLINE,2318184,Nissan,Xterra,suv,2012
1093,C1093,HYBRID,4913195,Toyota,Prius,car,2014
1094,C1094,GASOLINE,2318184,Nissan,Xterra,suv,2011
1095,C1095,GASOLINE,9571373,Toyota,Tacoma,truck,2019
1096,C1096,HYBRID,5420642,Toyota,Prius,car,2008
1097,C1097,GASOLINE,2318184,Toyota,RAV4,suv,2010
1098,C1098,GASOLINE,13620611,Mercedes-Benz,S-Class,car,2017
1099,C1099,GASOLINE,2318184,Jeep,Renegade,suv,2017
1100,C1100,,2245310,Toyota,Tacoma,truck,2004
1101,C1101,ELECTRIC,10657724,Tesla,Model X,suv,2020
1102,C1102,GASOLINE,2245310,Toyota,FJ Cruiser,suv,2007
1103,C1103,GASOLINE,2318184,Nissan,Xterra,suv,2008
1104,C1104,GASOLINE,2318184,Subaru,Forester,suv,2013
1105,C1105,GASOLINE,8482745,Subaru,Forester,suv,2014
1106,C1106,GASOLINE,4913195,Lexus,RX 350,suv,2016
1107,C1107,GASOLINE,2318184,Nissan,Xterra,suv,2010
1108,C1108,GASOLINE,13620611,Mercedes-Benz,C-Class,car,2015
1109,C1109,GASOLINE,2245310,Toyota,Sienna,minivan,2007
1110,C1110,GASOLINE,2318184,GMC,Terrain,suv,2020
1111,C1111,GASOLINE,10008266,Toyota,Tacoma,truck,2019
1112,C1112,GASOLINE,5420642,FIAT,500,car,2013
1113,C1113,GASOLINE,2245310,Toyota,4Runner,suv,2005
1114,C1114,GASOLINE,1723655,BMW,X3,suv,2008
1115,C1115,GASOLINE,10477314,Nissan,Armada,suv,2017
1116,C1116,GASOLINE,8482745,Honda,Pilot,suv,2008
1117,C1117,GASOLINE,4057191,Toyota,RAV4,suv,2011
1118,C1118,ELECTRIC,10558004,Tesla,Model 3,car,2019
1119,C1119,GASOLINE,4057191,Toyota,Sienna,minivan,2007
1120,C1120,GASOLINE,11355666,Cadillac,Escalade ESV,suv,2018
1121,C1121,ELECTRIC,3971140,Tesla,Model 3,car,2018
1122,C1122,GASOLINE,3856661,Dodge,Grand Caravan,minivan,2017
1123,C1123,ELECTRIC,1575980,Tesla,Model 3,car,2018
1124,C1124,GASOLINE,13620611,Ford,F-150,truck,2019
1125,C1125,GASOLINE,11053010,Toyota,Highlander,suv,2011
1126,C1126,ELECTRIC,3971140,Tesla,Model X,suv,2018
1127,C1127,,2245310,Toyota,Tacoma,truck,2004
1128,C1128,GASOLINE,5570744,Ford,Escape,suv,2012
1129,C1129,GASOLINE,8482745,Nissan,Sentra,car,2014
1130,C1130,GASOLINE,3856661,Honda,CR-V,suv,2016
1131,C1131,GASOLINE,4670126,Nissan,Frontier,truck,2008
1132,C1132,GASOLINE,10120701,Porsche,Cayenne,suv,2015
1133,C1133,GASOLINE,4057191,Toyota,Sienna,minivan,2008
1134,C1134,GASOLINE,8482745,Mazda,CX-5,suv,2016
1135,C1135,GASOLINE,4913195,Toyota,Venza,car,2011
1136,C1136,GASOLINE,8482745,Nissan,Pathfinder,suv,2016
1137,C1137,ELECTRIC,10571559,Tesla,Model 3,car,2018
1138,C1138,,9554539,Tesla,Model 3,car,2019
1139,C1139,GASOLINE,6440710,Acura,MDX,suv,2011
1140,C1140,ELECTRIC,3983880,Tesla,Model 3,car,2020
1141,C1141,GASOLINE,8482745,Honda,CR-V,suv,2010
1142,C1142,GASOLINE,3856661,Chevrolet,Express,van,2010
1143,C1143,DIESEL,558427,BMW,X3,suv,2015
1144,C1144,GASOLINE,716455,BMW,7 Series,car,2014
1145,C1145,GASOLINE,15106788,BMW,X6,suv,2019
1146,C1146,GASOLINE,1313558,Chevrolet,Corvette,car,2017
1147,C1147,GASOLINE,8482745,Mitsubishi,Outlander Sport,suv,2014
1148,C1148,GASOLINE,3856661,Dodge,Grand Caravan,minivan,2019
1149,C1149,GASOLINE,509664,Bentley,Continental GT,car,2006
1150,C1150,GASOLINE,14606467,Ford,Explorer,suv,2015
1151,C1151,GASOLINE,3856661,Chevrolet,Express,van,2010
1152,C1152,GASOLINE,4913195,Toyota,Tacoma,truck,2020
1153,C1153,GASOLINE,4057191,Toyota,RAV4,suv,2010
1154,C1154,GASOLINE,4993959,Toyota,4Runner,suv,2016
1155,C1155,GASOLINE,3856661,Dodge,Grand Caravan,minivan,2011
1156,C1156,GASOLINE,8482745,Honda,Accord,car,2011
1157,C1157,GASOLINE,8744139,Chevrolet,Camaro,car,2011
1158,C1158,GASOLINE,11053010,Toyota,Camry,car,2015
1159,C1159,GASOLINE,1536463,Toyota,4Runner,suv,2011
1160,C1160,GASOLINE,558427,Audi,A6,car,2009
1161,C1161,GASOLINE,10477314,Audi,A5,car,2015
1162,C1162,GASOLINE,8036862,Chevrolet,Corvette Stingray,car,2014
1163,C1163,GASOLINE,5570744,Dodge,Grand Caravan,minivan,2018
1164,C1164,GASOLINE,8232362,Toyota,Highlander,suv,2018
1165,C1165,GASOLINE,8482745,Nissan,Rogue,suv,2016
1166,C1166,GASOLINE,11355666,GMC,Yukon XL,suv,2018
1167,C1167,GASOLINE,3010808,Mercedes-Benz,GL-Class,suv,2013
1168,C1168,GASOLINE,3856661,Ford,Fusion,car,2011
1169,C1169,GASOLINE,7011026,Nissan,Pathfinder,suv,2017
1170,C1170,GASOLINE,2165613,BMW,Z4,car,2013
1171,C1171,GASOLINE,3856661,Mercedes-Benz,E-Class,car,2011
1172,C1172,GASOLINE,4832217,Porsche,Macan,suv,2017
1173,C1173,ELECTRIC,2379219,Tesla,Model 3,car,2019
1174,C1174,GASOLINE,10301195,Acura,MDX,suv,2012
1175,C1175,GASOLINE,11053010,Toyota,Yaris,car,2008
1176,C1176,GASOLINE,11053010,Toyota,Yaris,car,2015
1177,C1177,GASOLINE,8904470,Chevrolet,Suburban,suv,2018
1178,C1178,GASOLINE,5570744,Honda,CR-V,suv,2007
1179,C1179,GASOLINE,11822421,GMC,Yukon XL,suv,2015
1180,C1180,ELECTRIC,1419065,Tesla,Model 3,car,2018
1181,C1181,GASOLINE,5570744,Chevrolet,Express,van,2011
1182,C1182,GASOLINE,8904470,Chevrolet,Suburban,suv,2018
1183,C1183,GASOLINE,3856661,BMW,4 Series,car,2015
1184,C1184,GASOLINE,9554539,Audi,Q7,suv,2012
1185,C1185,ELECTRIC,5707398,Tesla,Model X,suv,2017
1186,C1186,GASOLINE,558427,Kia,Optima,car,2017
1187,C1187,ELECTRIC,3971140,Tesla,Model S,car,2017
1188,C1188,GASOLINE,5765543,Nissan,Xterra,suv,2010
1189,C1189,GASOLINE,3856661,Honda,Odyssey,minivan,2016
1190,C1190,GASOLINE,3856661,Ford,Expedition,suv,2014
1191,C1191,GASOLINE,2567051,Nissan,Pathfinder,suv,2017
1192,C1192,DIESEL,8932336,GMC,Terrain,suv,2018
1193,C1193,GASOLINE,1536463,Toyota,Highlander,suv,2015
1194,C1194,GASOLINE,15074789,Hyundai,Sonata,car,2019
1195,C1195,GASOLINE,2043161,Ford,Explorer,suv,2014
1196,C1196,GASOLINE,5123683,Toyota,Tacoma,truck,2018
1197,C1197,GASOLINE,558427,Audi,A6,car,2010
1198,C1198,HYBRID,6851915,Toyota,Prius,car,2012
1199,C1199,GASOLINE,3856661,Ford,Fusion,car,2011
1200,C1200,GASOLINE,8904470,Chevrolet,Suburban,suv,2014
1201,C1201,GASOLINE,2077169,Toyota,4Runner,suv,2018
1202,C1202,GASOLINE,879241,Cadillac,Escalade ESV,suv,2016
1203,C1203,GASOLINE,4973532,Honda,CR-V,suv,2016
1204,C1204,GASOLINE,11368853,Jeep,Grand Cherokee,suv,2018
1205,C1205,GASOLINE,5570744,Toyota,Sequoia,suv,2014
1206,C1206,GASOLINE,3856661,Dodge,Grand Caravan,minivan,2019
1207,C1207,GASOLINE,3856661,Dodge,Grand Caravan,minivan,2015
1208,C1208,GASOLINE,5570744,Ford,Fusion,car,2011
1209,C1209,GASOLINE,15799693,Ford,Escape,suv,2017
1210,C1210,ELECTRIC,2809821,Tesla,Model X,suv,2017
1211,C1211,GASOLINE,7694306,Porsche,911,car,2008
1212,C1212,ELECTRIC,2809821,Tesla,Model X,suv,2017
1213,C1213,GASOLINE,9326785,Kia,Sedona,minivan,2019
1214,C1214,DIESEL,8819114,Volkswagen,Touareg,suv,2012
1215,C1215,GASOLINE,1636818,BMW,3 Series,car,2013
1216,C1216,HYBRID,1098427,Honda,Insight,car,2011
1217,C1217,GASOLINE,2567051,Nissan,Rogue,suv,2018
1218,C1218,GASOLINE,3010808,Audi,Q7,suv,2012
1219,C1219,GASOLINE,9424882,Ford,Mustang,car,2016
1220,C1220,GASOLINE,15738366,Dodge,Charger,car,2018
1221,C1221,GASOLINE,1582843,Chevrolet,Cruze,car,2017
1222,C1222,GASOLINE,1025778,Kia,Forte,car,2018
1223,C1223,GASOLINE,1025778,Nissan,Sentra,car,2019
1224,C1224,GASOLINE,1025778,Nissan,Sentra,car,2019
1225,C1225,GASOLINE,1025778,Nissan,Sentra,car,2019
1226,C1226,GASOLINE,1025778,Nissan,Sentra,car,2019
1227,C1227,GASOLINE,1025778,Nissan,Sentra,car,2019
1228,C1228,GASOLINE,1025778,Nissan,Sentra,car,2019
1229,C1229,GASOLINE,1025778,Nissan,Sentra,car,2019
1230,C1230,GASOLINE,1025778,Nissan,Sentra,car,2019
1231,C1231,GASOLINE,1025778,Kia,Forte,car,2018
1232,C1232,GASOLINE,3809029,Toyota,Camry,car,2007
1233,C1233,GASOLINE,1582843,Mitsubishi,Mirage G4,car,2017
1234,C1234,ELECTRIC,6026457,Tesla,Model 3,car,2018
1235,C1235,GASOLINE,1025778,Nissan,Sentra,car,2019
1236,C1236,GASOLINE,143313,Chevrolet,Suburban,suv,2018
1237,C1237,DIESEL,15309892,Ram,3500,truck,2015
1238,C1238,GASOLINE,4874448,Chevrolet,Corvette,car,2015
1239,C1239,GASOLINE,7693589,Porsche,Boxster,car,2016
1240,C1240,GASOLINE,9009316,Polaris,Slingshot,car,2017
1241,C1241,GASOLINE,9946063,INFINITI,QX80,suv,2017
1242,C1242,ELECTRIC,11039077,Tesla,Model 3,car,2018
1243,C1243,GASOLINE,8804371,GMC,Yukon XL,suv,2012
1244,C1244,,13543201,Lexus,IS,car,2019
1245,C1245,GASOLINE,2682307,Chevrolet,Corvette,car,1961
1246,C1246,GASOLINE,7599614,Honda,Accord Sedan,car,2019
1247,C1247,GASOLINE,15281768,Infiniti,Q60,car,2019
1248,C1248,GASOLINE,15040718,Chevrolet,Silverado 1500,truck,2017
1249,C1249,GASOLINE,10579519,Chrysler,Town and Country,minivan,2014
1250,C1250,GASOLINE,1254248,Infiniti,QX,suv,2013
1251,C1251,GASOLINE,10999370,BMW,7 Series,car,2014
1252,C1252,GASOLINE,3156071,Chevrolet,Malibu,car,2015
1253,C1253,GASOLINE,644724,Toyota,Camry,car,2014
1254,C1254,GASOLINE,15011904,Honda,Pilot,suv,2014
1255,C1255,ELECTRIC,4368938,Kia,Niro,suv,2019
1256,C1256,GASOLINE,8299164,Ford,Mustang,car,2014
1257,C1257,GASOLINE,14242360,Dodge,Grand Caravan,minivan,2014
1258,C1258,GASOLINE,15646399,GMC,Acadia,suv,2008
1259,C1259,GASOLINE,4382510,Dodge,Durango,suv,2011
1260,C1260,GASOLINE,5005544,Hyundai,Santa Fe Sport,suv,2015
1261,C1261,ELECTRIC,14385542,Tesla,Model X,suv,2016
1262,C1262,GASOLINE,10802994,Mercedes-Benz,C-Class,car,2013
1263,C1263,GASOLINE,14614209,BMW,3 Series,car,2016
1264,C1264,GASOLINE,8974418,Mitsubishi,Mirage,car,2014
1265,C1265,GASOLINE,8974418,Nissan,Altima,car,2017
1266,C1266,GASOLINE,15158739,Honda,Odyssey,minivan,2018
1267,C1267,GASOLINE,2638428,Ford,Fusion,car,2012
1268,C1268,GASOLINE,3903614,Ford,Expedition,suv,2018
1269,C1269,GASOLINE,5513323,Chevrolet,Camaro,car,2017
1270,C1270,ELECTRIC,3121304,Tesla,Model 3,car,2018
1271,C1271,GASOLINE,15158739,Ford,Fusion,car,2010
1272,C1272,GASOLINE,2900697,Nissan,Sentra,car,2019
1273,C1273,GASOLINE,15158739,Dodge,Caliber,car,2009
1274,C1274,GASOLINE,15158739,Dodge,Caliber,car,2008
1275,C1275,GASOLINE,15158739,Toyota,RAV4,suv,2018
1276,C1276,GASOLINE,15158739,Dodge,Avenger,car,2009
1277,C1277,,15158739,Jeep,Wrangler Unlimited,suv,2020
1278,C1278,GASOLINE,15158739,Nissan,Rogue,suv,2019
1279,C1279,GASOLINE,15158739,Ford,Focus,car,2009
1280,C1280,GASOLINE,15158739,Chevrolet,Aveo,car,2009
1281,C1281,GASOLINE,3571954,Ford,Expedition MAX,suv,2020
1282,C1282,GASOLINE,3121304,Ford,Fusion,car,2016
1283,C1283,ELECTRIC,3109747,Tesla,Model S,car,2017
1284,C1284,GASOLINE,10551755,Toyota,4Runner,suv,2019
1285,C1285,GASOLINE,1370302,Dodge,Challenger,car,2017
1286,C1286,GASOLINE,8854619,Infiniti,Q50,car,2015
1287,C1287,GASOLINE,6761489,Dodge,Ram 1500,truck,2019
1288,C1288,ELECTRIC,1932769,Tesla,Model 3,car,2018
1289,C1289,GASOLINE,8854619,Chevrolet,Traverse,suv,2020
1290,C1290,ELECTRIC,2585795,Tesla,Model 3,car,2020
1291,C1291,,15158739,Nissan,Sentra,car,2020
1292,C1292,GASOLINE,1370302,Jeep,Wrangler Unlimited,suv,2019
1293,C1293,GASOLINE,3571954,BMW,5 Series,car,2015
1294,C1294,ELECTRIC,1932769,Tesla,Model X,suv,2017
1295,C1295,HYBRID,2857673,BMW,i8,car,2015
1296,C1296,GASOLINE,1550782,Nissan,Rogue,suv,2019
1297,C1297,GASOLINE,6761489,Toyota,Camry,car,2012
1298,C1298,,8854619,Chevrolet,Equinox,suv,2019
1299,C1299,GASOLINE,6761489,Chrysler,200,car,2016
1300,C1300,GASOLINE,6761489,Honda,CR-V,suv,2018
1301,C1301,GASOLINE,3073866,Chevrolet,Traverse,suv,2016
